================ Training Loss (Fri Feb  1 06:04:15 2019) ================
(epoch: 95, iters: 40, time: 1.379, data: 0.002) D_A: 0.141 G_A: 0.502 cycle_A: 0.900 idt_A: 0.766 D_B: 0.146 G_B: 0.440 cycle_B: 1.581 idt_B: 0.329 
(epoch: 98, iters: 20, time: 1.388, data: 0.327) D_A: 0.225 G_A: 0.346 cycle_A: 0.769 idt_A: 0.925 D_B: 0.102 G_B: 0.156 cycle_B: 1.897 idt_B: 0.245 
(epoch: 100, iters: 40, time: 2.776, data: 0.002) D_A: 0.219 G_A: 0.443 cycle_A: 0.685 idt_A: 0.425 D_B: 0.130 G_B: 0.390 cycle_B: 1.224 idt_B: 0.289 
(epoch: 103, iters: 20, time: 1.378, data: 0.513) D_A: 0.063 G_A: 0.694 cycle_A: 1.139 idt_A: 0.410 D_B: 0.117 G_B: 0.982 cycle_B: 0.983 idt_B: 0.260 
(epoch: 105, iters: 40, time: 1.386, data: 0.004) D_A: 0.099 G_A: 0.362 cycle_A: 0.742 idt_A: 0.437 D_B: 0.154 G_B: 0.960 cycle_B: 1.210 idt_B: 0.313 
(epoch: 108, iters: 20, time: 1.387, data: 0.414) D_A: 0.091 G_A: 0.453 cycle_A: 0.787 idt_A: 0.630 D_B: 0.075 G_B: 0.682 cycle_B: 1.988 idt_B: 0.281 
(epoch: 110, iters: 40, time: 2.752, data: 0.002) D_A: 0.281 G_A: 0.165 cycle_A: 0.783 idt_A: 0.333 D_B: 0.093 G_B: 0.234 cycle_B: 0.789 idt_B: 0.363 
(epoch: 113, iters: 20, time: 1.380, data: 0.461) D_A: 0.270 G_A: 0.174 cycle_A: 0.439 idt_A: 0.266 D_B: 0.096 G_B: 0.246 cycle_B: 0.643 idt_B: 0.204 
(epoch: 115, iters: 40, time: 1.384, data: 0.002) D_A: 0.253 G_A: 0.173 cycle_A: 0.562 idt_A: 0.465 D_B: 0.146 G_B: 1.043 cycle_B: 1.348 idt_B: 0.222 
(epoch: 118, iters: 20, time: 1.386, data: 0.484) D_A: 0.173 G_A: 0.257 cycle_A: 0.682 idt_A: 0.923 D_B: 0.065 G_B: 0.599 cycle_B: 1.899 idt_B: 0.288 
